,p_org_id,PersonNm,NAME,EIN,ntee_cat,TitleTxt,IndividualTrusteeOrDirectorInd,OfficerInd
175,38505,DAVID TURYBURY,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,VICE CHAIR,X,X
678,56342,DAVID W STANTON,NATIONAL ACADEMY OF ARBITRATORS,237126791,no_NTEE,DIRECTOR,X,na
683,70345,DAVID WEINBERG,NATIONAL ACADEMY OF ARBITRATORS RESEARCH & EDUCATION FOUNDATION,382613043,no_NTEE,DIRECTOR,X,na
555,36287,DAVID WIRTZ MD,GUTHRIE CORTLAND MEDICAL CENTER,150532079,(E) Health Care,DIRECTOR,X,na
144,48657,DBA CORTLAND CHAPTER,SUNY CORTLAND,202627486,no_NTEE,ICO,,
227,47554,DEAN SMITH,CORTLAND COMMUNITY SERVICE CLUB INC,200809584,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",President,na,na
807,36391,DEB WINES,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,BOARD MEMBER,X,na
32,68742,DEBORAH KING,CORTLAND AREA COMMUNITIES THAT CARE COALITION,342064367,(P) Human Services,ICO,,
332,36546,DEIRDRE JOYCE,CORTLAND COUNTY HISTORICAL SOCIETY -INC-,150555683,"(A) Arts, Culture & Humanities",Secretary,X,X
176,38505,DIANA ABDOO LAWSON,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
639,58051,DIANE HIGGINS,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,Treasurer,X,X
142,36212,DIANE VECCHIO,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
104,68742,DIANE WHEATON,CORTLAND AREA COMMUNITIES THAT CARE COALITION,342064367,(P) Human Services,Treasurer,X,X
449,38651,DIANNE GALUTZ,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,GUILD CO-PRES,X,X
571,42349,DIANNE HIGGINS,HOSPICE FOUNDATION OF CORTLAND COUNTY INC,161468911,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Treasurer,X,X
230,47554,DICK PENOYER,CORTLAND COMMUNITY SERVICE CLUB INC,200809584,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Vice President,na,na
386,39395,DJ VanGorder,CORTLAND HOUSING ASSISTANCE COUNCIL INC,161130177,(L) Housing & Shelter,Vice President,X,X
259,42239,DON RICHARDS,CORTLAND COUNTY BUSINESS DEVELOPMENT CORPORATION,161461027,no_NTEE,DIRECTOR,X,na
520,38462,DONALD BOWERSOX,FAMILY COUNSELING SERVICES OF CORTLAND COUNTY INC,160975006,(F) Mental Health & Crisis Intervention,BOARD MEMBER,X,na
177,38505,DONALD C ARMSTRONG,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
228,47554,DONALD REED,CORTLAND COMMUNITY SERVICE CLUB INC,200809584,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Treasurer,na,na
25,40784,DONNA M RAYMOND,CIVIL SERVICE EMPLOYEES ASSOCIATION,161320069,no_NTEE,ICO,,
127,36212,DONTE HEWLETT,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
518,38462,DORI CHURCH,FAMILY COUNSELING SERVICES OF CORTLAND COUNTY INC,160975006,(F) Mental Health & Crisis Intervention,BOARD MEMBER,X,na
446,38651,DOROTHEA FOWLER,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,BOARD MEMBER,X,na
178,38505,DOROTHEA KREIG FOWLER,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
721,39411,DOROTHY CARR,STATEWIDE COUNTRY MUSIC ASSOCIATION INC,161132390,"(A) Arts, Culture & Humanities",CO-MANAGING DIRECTOR,X,na
424,51769,DOROTHY TROIKE,CORTLAND MEMORIAL FOUNDATION IND C O CORTLAND MEMORIAL HOSPITAL INC,222230692,(E) Health Care,DIRECTOR,X,na
37,29419,DOUG BROWN,AUTOMOTIVE LIFT INSTITUTE INC,136162018,no_NTEE,Chairman,X,X
607,38243,DOUG DERANCY,J M MURRAY CENTER INC,160919050,(J) Employment,DIRECTOR,X,na
295,38653,DOUGLAS BENTLEY,CORTLAND COUNTY COMMUNITY ACTION PROGRAM INC,161004653,(P) Human Services,BOARD MEMBER,X,na
32,36701,DOUGLAS BROWN,AMERICAN LEGION,150610966,no_NTEE,2ND VICE,na,X
85,60464,Darrel Whitman,BROCKWAY TRUCK PRESERVATION ASSOCIATION,261329102,"(A) Arts, Culture & Humanities",Vice President,na,na
581,36771,David A Block,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS,150623052,no_NTEE,Financial,na,X
623,59588,David Snyder,KEYSTONE JUNIOR RODEO ASSOCIATION,251883648,(N) Recreation & Sports,Director,na,na
369,36601,Diane M Ames,CORTLAND FREE LIBRARY INC,150569362,(B) Education,Trustee,X,na
21,43730,Dorothy Dumond,ACCESS TO INDEPENDENCE OF CORTLAND COUNTY INC,161557965,(B) Education,Board Member,X,na
376,36601,Dr Mark Martin,CORTLAND FREE LIBRARY INC,150569362,(B) Education,Trustee,X,na
153,40572,EAMON O SHEA,CORTLAND COLLEGE CHILDRENS CENTER,161292297,(P) Human Services,CHAIR,X,X
551,36287,EDWARD BENDER,GUTHRIE CORTLAND MEDICAL CENTER,150532079,(E) Health Care,RADIATION PHYSICIST,na,na
717,39411,EDWARD KOWALSKI,STATEWIDE COUNTRY MUSIC ASSOCIATION INC,161132390,"(A) Arts, Culture & Humanities",PRESIDENT,na,X
116,111894,EDWARD M TOTH,MARSB INCORPORATED,883196049,(C) Environment,ICO,,
105,68742,EHREN BAHNS,CORTLAND AREA COMMUNITIES THAT CARE COALITION,342064367,(P) Human Services,Director,X,na
509,38462,EILEEN FITZGERALD-SPIEHS,FAMILY COUNSELING SERVICES OF CORTLAND COUNTY INC,160975006,(F) Mental Health & Crisis Intervention,BOARD MEMBER,X,na
535,86217,ELAINE SMITH,GRANGE PATRONS OF HUSBANDRY NEW YORK STATE GRANGE INC,611699456,no_NTEE,VICE PRESIDE,na,X
336,36546,ELIZABETH BURNS,CORTLAND COUNTY HISTORICAL SOCIETY -INC-,150555683,"(A) Arts, Culture & Humanities",Trustee,X,na
90,94574,ELIZABETH M COLE,FRIENDS OF THE CORTLAND FREE LIBRARY,823162028,(W) Public & Societal Benefit,ICO,,
637,58051,ELIZABETH SHARP,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,BOARD MEMBER,X,na
684,70345,ELIZABETH WESMAN,NATIONAL ACADEMY OF ARBITRATORS RESEARCH & EDUCATION FOUNDATION,382613043,no_NTEE,DIRECTOR,X,na
300,38653,ELLA DILORIO,CORTLAND COUNTY COMMUNITY ACTION PROGRAM INC,161004653,(P) Human Services,BOARD MEMBER,X,na
782,36375,ELLEN RAHNER,YOUNG MENS CHRISTIAN ASSOCIATION CORTLAND,150533570,(P) Human Services,BOARD MEMBER,X,na
57,36004,EMILY MARCHENKOFF,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,150298495,no_NTEE,TREASURER,na,X
283,39681,EMILY MORSE,CORTLAND COUNTY CHILD DEVELOPMENT DAY CARE PROGRAM INC,161167492,(P) Human Services,Director,X,na
215,38618,EMILY SOMMER,CORTLAND COLLEGE STUDENT ASSOCIATION,160998593,(B) Education,SECRETARY,X,X
207,38618,EMMA CRANSTON,CORTLAND COLLEGE STUDENT ASSOCIATION,160998593,(B) Education,VICE PRESIDENT,X,X
49,36518,EMMA CRANTSON,AUXILIARY SERVICES CORPORATION OF SUNY CORTLAND,150548524,(B) Education,DIRECTOR,X,na
559,36287,ERIC BOYLAN,GUTHRIE CORTLAND MEDICAL CENTER,150532079,(E) Health Care,DIRECTOR,X,na
560,36287,ERIC BROWN,GUTHRIE CORTLAND MEDICAL CENTER,150532079,(E) Health Care,DIRECTOR,X,na
269,35991,ERIC BROWN,CORTLAND COUNTY CHAMBER OF COMMERCE INC,150278960,no_NTEE,DIRECTOR,X,na
154,40572,ERIC COMTOIS,CORTLAND COLLEGE CHILDRENS CENTER,161292297,(P) Human Services,MEMBER,X,na
731,42886,ERIC MULVHILL,THE GREAT CORTLAND PUMPKINFEST INC,161506254,(N) Recreation & Sports,BD MEMBER,X,na
313,42170,ERIC MULVIHILL,CORTLAND COUNTY CONVENTION & VISITORS BUREAU INC,161454737,(S) Community Improvement & Capacity Building,President,X,X
197,38505,ERIK BITTERBAUM,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
746,45816,ERIK BITTERBAUM,UNITED WAY FOR CORTLAND COUNTY INC,166058903,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
120,36212,ERIK BITTERBAUM,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
10,36518,ERIKA DEAN,AUXILIARY SERVICES CORPORATION OF SUNY CORTLAND,150548524,(B) Education,ICO,,
147,36212,ERIN BOYLAN,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,EXECUTIVE DIRECTOR,na,X
648,60788,ERIN GOSSE,LITTLE LEAGUE BASEBALL INC,261684182,no_NTEE,CONCESSION DIRECTOR,na,na
350,58859,ERIN GRAY,CORTLAND COUNTY YOUTH HOCKEY ASSOCIATION INC,237424765,(N) Recreation & Sports,FUNDRAISING,na,na
146,36212,ERIN NORRIS,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
405,85551,ERNEST CASE,CORTLAND MAIN STREET MUSIC SERIES,571176369,"(A) Arts, Culture & Humanities",PRESIDENT,na,na
613,108324,ERNEST DODGE,J M MURRAY FOUNDATION INC,872094810,(P) Human Services,VICE PRESIDENT,X,X
179,38505,ERNEST LOGAN,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
601,38243,ERNEST M DODGE,J M MURRAY CENTER INC,160919050,(J) Employment,PRESIDENT AND CEO,X,X
239,35992,ERNIE DODGE,CORTLAND COUNTRY CLUB INC,150279005,no_NTEE,President,X,X
720,39411,ESTER KENTCH,STATEWIDE COUNTRY MUSIC ASSOCIATION INC,161132390,"(A) Arts, Culture & Humanities",CO-MANAGING DIRECTOR,X,na
730,42886,ESTHER VANGORDER,THE GREAT CORTLAND PUMPKINFEST INC,161506254,(N) Recreation & Sports,BD MEMBER,X,na
383,36601,EUGENE WALDBAUER,CORTLAND FREE LIBRARY INC,150569362,(B) Education,Trustee,X,na
131,47424,EUGENIA CUTE,PURR FECT WORLD INC,200602518,(D) Animal-Related,ICO,,
361,49695,EVAN GEIBEL,CORTLAND DOWNTOWN PARTNERSHIP INC,204296071,"(A) Arts, Culture & Humanities",PRESIDENT,X,X
273,35991,EVAN RAMIZA,CORTLAND COUNTY CHAMBER OF COMMERCE INC,150278960,no_NTEE,VICE CHAIR AND TRESURER,X,X
756,45816,EVAN RAMIZA,UNITED WAY FOR CORTLAND COUNTY INC,166058903,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",1st VP,X,X
264,35991,EVAN SOUZA,CORTLAND COUNTY CHAMBER OF COMMERCE INC,150278960,no_NTEE,DIRECTOR,X,na
576,42349,EVELYN SAMMONS,HOSPICE FOUNDATION OF CORTLAND COUNTY INC,161468911,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
75,60464,Eric Sweet,BROCKWAY TRUCK PRESERVATION ASSOCIATION,261329102,"(A) Arts, Culture & Humanities",Secretary,na,na
593,36771,Ezekiel M Phoenix,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS,150623052,no_NTEE,Sergeant at Arms,na,X
752,45816,F MICHAEL CATALANO,UNITED WAY FOR CORTLAND COUNTY INC,166058903,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
113,36212,FLOSSIE BELL LOMAX,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,VICE PRESIDENT,X,X
630,58051,FORREST EARL,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,President,X,X
327,36546,FRAN CASULLO,CORTLAND COUNTY HISTORICAL SOCIETY -INC-,150555683,"(A) Arts, Culture & Humanities",Trustee,X,na
544,36287,FRANCIS M MACAFEE,GUTHRIE CORTLAND MEDICAL CENTER,150532079,(E) Health Care,CFO (7/1/22-12/31/22),na,X
180,38505,FRANCIS ROSSI,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
181,38505,FRITZ FAVORULE,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
584,36771,Frank Marinelli,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS,150623052,no_NTEE,President,na,X
508,38462,GAIL L BARTON,FAMILY COUNSELING SERVICES OF CORTLAND COUNTY INC,160975006,(F) Mental Health & Crisis Intervention,BOARD MEMBER,X,na
569,42349,GAIL VAN PATTEN,HOSPICE FOUNDATION OF CORTLAND COUNTY INC,161468911,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Vice President,X,X
453,38651,GARRISON MARSTED,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,BOARD MEMBER,X,na
603,38243,GARRY VANGORDER,J M MURRAY CENTER INC,160919050,(J) Employment,DIRECTOR,X,na
262,42239,GARRY VANGORDER,CORTLAND COUNTY BUSINESS DEVELOPMENT CORPORATION,161461027,no_NTEE,EXECUTIVE DIRECTOR (PART YEAR),na,X
392,39395,GARRY VANGORDER,CORTLAND HOUSING ASSISTANCE COUNCIL INC,161130177,(L) Housing & Shelter,Member,X,na
565,36287,GARRY VANGORDER,GUTHRIE CORTLAND MEDICAL CENTER,150532079,(E) Health Care,CHAIRMAN - DIR. (TERM 1/1/23),X,X
38,29419,GARY DIANGELO,AUTOMOTIVE LIFT INSTITUTE INC,136162018,no_NTEE,Director,X,na
517,38462,GARY J HARRINGTON,FAMILY COUNSELING SERVICES OF CORTLAND COUNTY INC,160975006,(F) Mental Health & Crisis Intervention,BOARD MEMBER,X,na
34,29419,GARY WAINWRIGHT,AUTOMOTIVE LIFT INSTITUTE INC,136162018,no_NTEE,Director,X,na
719,39411,GEORGE CLARK JR,STATEWIDE COUNTRY MUSIC ASSOCIATION INC,161132390,"(A) Arts, Culture & Humanities",PLANNING DIRECTOR,X,na
511,38462,GEORGE FREDRICK GOODALL,FAMILY COUNSELING SERVICES OF CORTLAND COUNTY INC,160975006,(F) Mental Health & Crisis Intervention,BOARD SECRETARY,X,X
209,38618,GEORGE SIAGRIS,CORTLAND COLLEGE STUDENT ASSOCIATION,160998593,(B) Education,CHIEF OF STAFF,X,X
182,38505,GEORGE WEISSMAN,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,IMMEDIATE PAST CHAIR,X,na
257,42239,GERALD CONTENTO JR,CORTLAND COUNTY BUSINESS DEVELOPMENT CORPORATION,161461027,no_NTEE,DIRECTOR,X,na
140,40967,GIANNA BRENNAN,SIGMA DELTA TAU SOCIETY,161343331,no_NTEE,ICO,,
806,36391,GINA SIKORA,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,BOARD MEMBER,X,na
66,62798,GINA SIKORA,CORTLAND MUSIC INC,264836734,"(A) Arts, Culture & Humanities",ICO,,
810,36391,GINNY WRIGHT,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,BOARD MEMBER,X,na
372,36601,GLENN REISWEBER,CORTLAND FREE LIBRARY INC,150569362,(B) Education,Trustee,X,na
456,38651,GLORIA CRANE,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,BOARD MEMBER,X,na
751,45816,GREG RICHARDS,UNITED WAY FOR CORTLAND COUNTY INC,166058903,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
306,38653,GREG RICHARDS,CORTLAND COUNTY COMMUNITY ACTION PROGRAM INC,161004653,(P) Human Services,EXECUTIVE DIRECTOR,na,X
713,44509,GREG RICHARDS,SEVEN VALLEYS HEALTH COALITION INC,161600893,(E) Health Care,BOARD MEMBER,X,na
210,38618,GRETCHEN HAZARD,CORTLAND COLLEGE STUDENT ASSOCIATION,160998593,(B) Education,COORDINATOR FOR STUDENT ADVOCACY,X,X
428,48247,Garry VanGorder,CORTLAND REGIONAL SPORTS COUNCIL INC,201960550,(S) Community Improvement & Capacity Building,President,X,X
588,36771,Grant C Sterle,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS,150623052,no_NTEE,Trustee,X,X
448,38651,HARRIET PRATT HIGGINS,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,BOARD MEMBER,X,na
552,36287,HEATHER HOWELL,GUTHRIE CORTLAND MEDICAL CENTER,150532079,(E) Health Care,REGISTERED NURSE,na,na
280,35991,HEATHER WINEBURG,CORTLAND COUNTY CHAMBER OF COMMERCE INC,150278960,no_NTEE,ADMINISTRATOR,na,na
654,53611,HEIDI EFFINGER,MENTAL HEALTH ASSOCIATION FOR CORTLAND COUNTY,222839556,no_NTEE,President,na,na
634,58051,HELEN NEWELL,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,BOARD MEMBER,X,na
294,38653,HELEN SPAULDING,CORTLAND COUNTY COMMUNITY ACTION PROGRAM INC,161004653,(P) Human Services,BOARD TREASURER,X,X
662,56342,HOMER C LA RUE,NATIONAL ACADEMY OF ARBITRATORS,237126791,no_NTEE,PRESIDENT ELECT/PRESIDENT,X,X
73,60464,Hugh Riehlman,BROCKWAY TRUCK PRESERVATION ASSOCIATION,261329102,"(A) Arts, Culture & Humanities",Trustee,na,na
624,58051,ILYA SHMULENSON,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,Executive Dir.,na,X
443,38651,INGRID FOX,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,BOARD MEMBER,X,na
310,42170,INGRID FOX,CORTLAND COUNTY CONVENTION & VISITORS BUREAU INC,161454737,(S) Community Improvement & Capacity Building,BOARD MEMBER,X,na
723,39411,IRENE RUSSELL,STATEWIDE COUNTRY MUSIC ASSOCIATION INC,161132390,"(A) Arts, Culture & Humanities",SECRETARY,na,X
714,44509,JACQUELINE LEAF,SEVEN VALLEYS HEALTH COALITION INC,161600893,(E) Health Care,EXECUTIVE DIRECTOR,na,X
62,36004,JAMES BOYCE,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,150298495,no_NTEE,TRUSTEE,X,X
665,56342,JAMES C OAKLEY,NATIONAL ACADEMY OF ARBITRATORS,237126791,no_NTEE,DIRECTOR (PART YEAR),X,na
493,51988,JAMES HARVEY,DISABLED VETS OF CORTLAND COUNTY,222315953,(W) Public & Societal Benefit,VICE-PRESIDENT,na,X
129,36212,JAMES LONGI,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
231,47554,JAMES MILLER,CORTLAND COMMUNITY SERVICE CLUB INC,200809584,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",ASSISTANT TREAS,na,na
605,38243,JAMES NICHOLS,J M MURRAY CENTER INC,160919050,(J) Employment,DIRECTOR,X,na
41,47554,JAMES P NUNCIATO,CORTLAND COMMUNITY SERVICE CLUB INC,200809584,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",ICO,,
785,36375,JAMIE DENING,YOUNG MENS CHRISTIAN ASSOCIATION CORTLAND,150533570,(P) Human Services,BOARD MEMBER,X,na
117,36212,JAMIE PIPERATO,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,IMMEDIATE PAST PRESIDENT,X,X
3,18383,JANE HUNTER,1890 HOUSE MUSEUM AND CENTER FOR THE ARTS,132951986,"(A) Arts, Culture & Humanities",BD MEMBER,X,na
73,46612,JANET FRIFFEN,CORTLAND SENIOR HIGH SCHOOL BOOSTERS CLUB,166103616,no_NTEE,ICO,,
19,49052,JANICE HINMAN,CENTRAL NEW YORK SPAY NEUTER ASSISTANCE PROGRAM CNY SNAP,203322730,(D) Animal-Related,ICO,,
409,85551,JARED POPOLI,CORTLAND MAIN STREET MUSIC SERIES,571176369,"(A) Arts, Culture & Humanities",BOARD MEMBER,na,na
747,45816,JARROD KOLODZIEJCZYK,UNITED WAY FOR CORTLAND COUNTY INC,166058903,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
685,70345,JASBIR PARMAR,NATIONAL ACADEMY OF ARBITRATORS RESEARCH & EDUCATION FOUNDATION,382613043,no_NTEE,DIRECTOR,X,na
87,449,JASON C TRABUCCO,FREE & ACCEPTED MASONS OF NEW YORK,10939780,no_NTEE,ICO,,
242,38548,JASON HAGE,CORTLAND COUNTY BOARD REALTORS INC,160987063,no_NTEE,PRESIDENT-ELECT,na,na
255,42239,JASON HAGE,CORTLAND COUNTY BUSINESS DEVELOPMENT CORPORATION,161461027,no_NTEE,DIRECTOR,X,na
416,51769,JASON HAGE,CORTLAND MEMORIAL FOUNDATION IND C O CORTLAND MEMORIAL HOSPITAL INC,222230692,(E) Health Care,VICE CHAIR - DIRECTOR,X,X
65,36004,JASON MARCHENKOFF,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,150298495,no_NTEE,2ND VICE PRESDIENT,X,X
86,60464,JASON MCRAE,BROCKWAY TRUCK PRESERVATION ASSOCIATION,261329102,"(A) Arts, Culture & Humanities",Trustee,na,na
144,36212,JEAN RIGHTMIRE,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
298,38653,JEANETTE DIPPO,CORTLAND COUNTY COMMUNITY ACTION PROGRAM INC,161004653,(P) Human Services,BOARD MEMBER,X,na
663,56342,JEANNE CHARLES,NATIONAL ACADEMY OF ARBITRATORS,237126791,no_NTEE,DIRECTOR (PART YEAR),X,na
686,70345,JEANNE VONHOF,NATIONAL ACADEMY OF ARBITRATORS RESEARCH & EDUCATION FOUNDATION,382613043,no_NTEE,PRESIDENT,X,X
483,14649,JEFF BREED,CORTLANDVILLE FIRE DEPARTMENT INCORPORATED,115227037,"(M) Public Safety, Disaster Preparedness & Relief",TREASURER,na,na
757,45816,JEFF BREED,UNITED WAY FOR CORTLAND COUNTY INC,166058903,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
16,54951,JEFF FAHERTY,BROTHERHOOD OF LOCOMOTIVE ENGINEERS AND TRAINMEN,226063686,no_NTEE,ICO,,
36,29419,JEFF KRITZER,AUTOMOTIVE LIFT INSTITUTE INC,136162018,no_NTEE,Past Chairman,X,X
463,38651,JEFF PENOYER,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,board member,X,na
638,58051,JEFF PEYNOYER,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,BOARD MEMBER,X,na
602,38243,JEFFREY ARMSTRONG,J M MURRAY CENTER INC,160919050,(J) Employment,DIRECTOR,X,na
420,51769,JEFFREY BREED,CORTLAND MEMORIAL FOUNDATION IND C O CORTLAND MEMORIAL HOSPITAL INC,222230692,(E) Health Care,DIRECTOR,X,na
540,38633,JEFFREY RACHLINSKI,GREEK PEAK SKI CLUB INC,161000951,(N) Recreation & Sports,PRESIDENT,na,na
368,36601,JEN GRANEY,CORTLAND FREE LIBRARY INC,150569362,(B) Education,LIBRARYDIRECTOR,na,X
521,38462,JEN GRANEY,FAMILY COUNSELING SERVICES OF CORTLAND COUNTY INC,160975006,(F) Mental Health & Crisis Intervention,BOARD MEMBER,X,na
270,35991,JEN YARTYM,CORTLAND COUNTY CHAMBER OF COMMERCE INC,150278960,no_NTEE,DIRECTOR,X,na
155,40572,JENNIFER FELICIANO,CORTLAND COLLEGE CHILDRENS CENTER,161292297,(P) Human Services,MEMBER,X,na
59,36004,JENNIFER HODGES,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,150298495,no_NTEE,3RD VICE PRESIDENT,X,X
58,36004,JENNIFER HUBBELL,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,150298495,no_NTEE,SECRETARY,na,X
411,51769,JENNIFER L YARTYM,CORTLAND MEMORIAL FOUNDATION IND C O CORTLAND MEMORIAL HOSPITAL INC,222230692,(E) Health Care,DIRECTOR - PRESIDENT - GCMC,X,na
496,51988,JENNIFER MCCRACKEN,DISABLED VETS OF CORTLAND COUNTY,222315953,(W) Public & Societal Benefit,TREASURER,na,X
156,40572,JENNIFER MORGAN,CORTLAND COLLEGE CHILDRENS CENTER,161292297,(P) Human Services,MEMBER,X,na
