,p_org_id,PersonNm,NAME,EIN,ntee_cat,TitleTxt,IndividualTrusteeOrDirectorInd,OfficerInd
8,48184,JENNIFER SCHULTZ,ASC FAMILY FUND INC,201878196,(P) Human Services,ICO,,
800,36391,JENNIFER SOPRANO,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,Treasurer,X,X
140,36212,JENNIFER VILLANY,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
545,36287,JENNIFER YARTYM,GUTHRIE CORTLAND MEDICAL CENTER,150532079,(E) Health Care,DIRECTOR - PRESIDENT,X,X
704,44509,JENNIFER YARTYM,SEVEN VALLEYS HEALTH COALITION INC,161600893,(E) Health Care,BOARD MEMBER,X,na
281,39681,JENNY ROBINSON,CORTLAND COUNTY CHILD DEVELOPMENT DAY CARE PROGRAM INC,161167492,(P) Human Services,EXECUTIVE DIRECTOR,na,na
745,45816,JENNY ROBINSON,UNITED WAY FOR CORTLAND COUNTY INC,166058903,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
791,36391,JERI DUVALL,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,BOARD MEMBER,X,na
247,38548,JERRY HARTNETT,CORTLAND COUNTY BOARD REALTORS INC,160987063,no_NTEE,DIRECTOR,na,na
2,18383,JERRY WILCOX,1890 HOUSE MUSEUM AND CENTER FOR THE ARTS,132951986,"(A) Arts, Culture & Humanities",BD MEMBER,X,na
166,38505,JESSE CRANE,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
77,60464,JESSICA ANDERSON,BROCKWAY TRUCK PRESERVATION ASSOCIATION,261329102,"(A) Arts, Culture & Humanities",Trustee,na,na
287,39681,JESSICA BILEK,CORTLAND COUNTY CHILD DEVELOPMENT DAY CARE PROGRAM INC,161167492,(P) Human Services,Director,X,na
319,42170,JESSICA SLOMA,CORTLAND COUNTY CONVENTION & VISITORS BUREAU INC,161454737,(S) Community Improvement & Capacity Building,BOARD MEMBER,X,na
290,39681,JESSICA YOUNG,CORTLAND COUNTY CHILD DEVELOPMENT DAY CARE PROGRAM INC,161167492,(P) Human Services,Director,X,na
157,40572,JILL TOFTEGAARD,CORTLAND COLLEGE CHILDRENS CENTER,161292297,(P) Human Services,MEMBER,X,na
146,42886,JIM DEMPSEY,THE GREAT CORTLAND PUMPKINFEST INC,161506254,(N) Recreation & Sports,ICO,,
784,36375,JIM DEMPSEY,YOUNG MENS CHRISTIAN ASSOCIATION CORTLAND,150533570,(P) Human Services,BOARD MEMBER,X,na
632,58051,JIM MCKENNA,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,BOARD MEMBER,X,na
84,60464,JIM NADGE,BROCKWAY TRUCK PRESERVATION ASSOCIATION,261329102,"(A) Arts, Culture & Humanities",Trustee,na,na
579,42349,JIM POVERO,HOSPICE FOUNDATION OF CORTLAND COUNTY INC,161468911,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
487,57460,JIM WEISS,CULTURAL COUNCIL OF CORTLAND COUNTY INC,237269008,no_NTEE,SECRETARY,na,na
107,68742,JOANN WICKMAN,CORTLAND AREA COMMUNITIES THAT CARE COALITION,342064367,(P) Human Services,Director,X,na
348,58859,JODIE DELAGE,CORTLAND COUNTY YOUTH HOCKEY ASSOCIATION INC,237424765,(N) Recreation & Sports,Vice President,na,na
101,68742,JOE CORTESE,CORTLAND AREA COMMUNITIES THAT CARE COALITION,342064367,(P) Human Services,Chairman,X,X
61,36004,JOE HASKELL,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,150298495,no_NTEE,TRUSTEE,X,X
200,51353,JOHANNA AMES,CORTLAND COLLEGE FOUNDATIONPROPERTIES INC,208746984,(S) Community Improvement & Capacity Building,CHAIR,X,X
253,42239,JOHANNA AMES,CORTLAND COUNTY BUSINESS DEVELOPMENT CORPORATION,161461027,no_NTEE,DIRECTOR,X,na
183,38505,JOHANNA R AMES,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,CHAIR,X,X
687,70345,JOHN ALFANO,NATIONAL ACADEMY OF ARBITRATORS RESEARCH & EDUCATION FOUNDATION,382613043,no_NTEE,VICE PRESIDENT,X,X
366,49695,JOHN ASPINWALL,CORTLAND DOWNTOWN PARTNERSHIP INC,204296071,"(A) Arts, Culture & Humanities",TREASURER,X,X
510,38462,JOHN FINN,FAMILY COUNSELING SERVICES OF CORTLAND COUNTY INC,160975006,(F) Mental Health & Crisis Intervention,BOARD MEMBER,X,na
445,38651,JOHN FOLMER,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,BOARD MEMBER,X,na
373,36601,JOHN HOESCHELE,CORTLAND FREE LIBRARY INC,150569362,(B) Education,Vice President,X,X
66,36004,JOHN KANE,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,150298495,no_NTEE,TRUSTEE,X,X
250,42239,JOHN O REAGAN,CORTLAND COUNTY BUSINESS DEVELOPMENT CORPORATION,161461027,no_NTEE,TREASURER,X,X
114,36212,JOHN SILSBY,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,TREASURER,X,X
126,34198,JOHN TUCKER,NEW YORK STATE FALLEN FIRE FIGHTERS MEMORIAL COMMITTEE INC,141806291,"(A) Arts, Culture & Humanities",ICO,,
237,35992,JOHN WANISH,CORTLAND COUNTRY CLUB INC,150279005,no_NTEE,BOARD MEMBER,X,na
816,36391,JOHN WHITTLETON,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,Trustee,X,na
71,105037,JOHN ZELSON,CORTLAND REUSE INC,853825876,(J) Employment,ICO,,
465,105037,JOHN ZELSON,CORTLAND REUSE INC,853825876,(J) Employment,PRESIDENT,na,na
347,58859,JORDAN BUTLER-PERKINS,CORTLAND COUNTY YOUTH HOCKEY ASSOCIATION INC,237424765,(N) Recreation & Sports,REGISTRAR,na,na
88,114554,JORDAN SMITH,CENTRAL NEW YORK ACTION SPORTS INC,920791511,(N) Recreation & Sports,VICE PRESIDENT,X,X
125,36212,JOSEPH EPPOLITO,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
505,38462,JOSEPH F GOVERNALI,FAMILY COUNSELING SERVICES OF CORTLAND COUNTY INC,160975006,(F) Mental Health & Crisis Intervention,BOARD PRESIDENT,X,X
769,76383,JOSEPH FITZGERALD,YMCA OF CORTLAND PROPERTIES INC,463376307,(P) Human Services,VICE PRESIDENT,na,na
780,36375,JOSEPH FITZGERALD,YOUNG MENS CHRISTIAN ASSOCIATION CORTLAND,150533570,(P) Human Services,BOARD MEMBER/VICE PRESIDENT,X,X
547,36287,JOSEPH JOHNSTON,GUTHRIE CORTLAND MEDICAL CENTER,150532079,(E) Health Care,"VICE PRESIDENT, OPERATIONS",na,na
50,36518,JOSEPH MASCETTA,AUXILIARY SERVICES CORPORATION OF SUNY CORTLAND,150548524,(B) Education,DIRECTOR,X,na
208,38618,JOSEPH MASCETTA,CORTLAND COLLEGE STUDENT ASSOCIATION,160998593,(B) Education,CHIEF FINANCIAL OFFICER,X,X
558,36287,JOSEPH PUZO,GUTHRIE CORTLAND MEDICAL CENTER,150532079,(E) Health Care,SECRETARY - DIRECTOR,X,X
450,38651,JOSH APKER,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,Treasurer,X,X
541,38633,JOSH FINN,GREEK PEAK SKI CLUB INC,161000951,(N) Recreation & Sports,TREASURER,na,na
82,60464,JOSH MCLAUGHLIN,BROCKWAY TRUCK PRESERVATION ASSOCIATION,261329102,"(A) Arts, Culture & Humanities",Trustee,na,na
668,56342,JOSHUA JAVITS,NATIONAL ACADEMY OF ARBITRATORS,237126791,no_NTEE,VICE PRESIDENT (PART YEAR),X,X
324,36546,JUDAH CURRIE III,CORTLAND COUNTY HISTORICAL SOCIETY -INC-,150555683,"(A) Arts, Culture & Humanities",Trustee,X,na
399,40168,JUDY HEATH,CORTLAND LOAVES & FISHES INC,161236737,"(K) Food, Agriculture & Nutrition",Director,X,na
149,57369,JUDY PIERCE,TOPS CLUB INC,237248826,(E) Health Care,ICO,,
608,38243,JUDY RISAVI,J M MURRAY CENTER INC,160919050,(J) Employment,DIRECTOR,X,na
673,56342,JULES BLOCH,NATIONAL ACADEMY OF ARBITRATORS,237126791,no_NTEE,DIRECTOR,X,na
688,70345,JULES CRYSTAL,NATIONAL ACADEMY OF ARBITRATORS RESEARCH & EDUCATION FOUNDATION,382613043,no_NTEE,DIRECTOR,X,na
345,58859,JULIA NYE,CORTLAND COUNTY YOUTH HOCKEY ASSOCIATION INC,237424765,(N) Recreation & Sports,IP COORDINATOR,na,na
629,58051,JULIE BARCLAY,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,Vice President,X,X
606,38243,JULIE CAMPBELL,J M MURRAY CENTER INC,160919050,(J) Employment,SECRETARY,X,X
655,53611,JULIE PARTIGIANONI,MENTAL HEALTH ASSOCIATION FOR CORTLAND COUNTY,222839556,no_NTEE,Vice President,na,na
580,42349,JULIE VERNUM,HOSPICE FOUNDATION OF CORTLAND COUNTY INC,161468911,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
211,38618,JUSTIN HORTON,CORTLAND COLLEGE STUDENT ASSOCIATION,160998593,(B) Education,ASSOCIATE FINANCIAL OFFICER,X,X
51,36518,JUSTIN HORTON,AUXILIARY SERVICES CORPORATION OF SUNY CORTLAND,150548524,(B) Education,DIRECTOR,X,na
226,43807,Jackie McCloskey,CORTLAND COMMUNITY FOUNDATION,161561037,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",EXEC DIRECTOR,na,X
437,48247,James Baranello,CORTLAND REGIONAL SPORTS COUNCIL INC,201960550,(S) Community Improvement & Capacity Building,BOARD MEMBER,X,na
470,35994,James Nichols,CORTLAND RURAL CEMETERY,150279170,no_NTEE,Trustee,X,na
590,36771,James P Chapman,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS,150623052,no_NTEE,Guide,na,X
17,43730,Janet Oechsle,ACCESS TO INDEPENDENCE OF CORTLAND COUNTY INC,161557965,(B) Education,Board Member,X,na
91,49052,Janice Hinman,CENTRAL NEW YORK SPAY NEUTER ASSISTANCE PROGRAM CNY SNAP,203322730,(D) Animal-Related,President/Treasurer,X,X
93,49052,Janice Venditte,CENTRAL NEW YORK SPAY NEUTER ASSISTANCE PROGRAM CNY SNAP,203322730,(D) Animal-Related,Coordinator,X,na
619,59588,Jeffrey Gettys,KEYSTONE JUNIOR RODEO ASSOCIATION,251883648,(N) Recreation & Sports,Director,na,na
98,43002,Jennifer Mrozowski,CIVIL SERVICE EMPLOYEES ASSOCIATION,161513551,no_NTEE,Secretary,na,na
391,39395,Jerry Hartnett,CORTLAND HOUSING ASSISTANCE COUNCIL INC,161130177,(L) Housing & Shelter,President,X,X
589,36771,John C Walpole,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS,150623052,no_NTEE,Trustee,X,X
478,35994,John Hoeschle,CORTLAND RURAL CEMETERY,150279170,no_NTEE,Treasurer,X,X
615,59588,John Hollenbach,KEYSTONE JUNIOR RODEO ASSOCIATION,251883648,(N) Recreation & Sports,President,na,na
432,48247,John McNerney,CORTLAND REGIONAL SPORTS COUNCIL INC,201960550,(S) Community Improvement & Capacity Building,BOARD MEMBER,X,na
222,43807,John Poli,CORTLAND COMMUNITY FOUNDATION,161561037,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
218,43807,John Reagan,CORTLAND COMMUNITY FOUNDATION,161561037,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
219,43807,John Whittleton,CORTLAND COMMUNITY FOUNDATION,161561037,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
426,48247,Joseph Reagan,CORTLAND REGIONAL SPORTS COUNCIL INC,201960550,(S) Community Improvement & Capacity Building,Vice President,X,X
622,59588,Joseph Stoltzfus,KEYSTONE JUNIOR RODEO ASSOCIATION,251883648,(N) Recreation & Sports,Director,na,na
370,36601,Julie Campbell,CORTLAND FREE LIBRARY INC,150569362,(B) Education,Trustee,X,na
125,54158,KALEB WILSON AMERICA CREDIT UNION,NEW YORK CREDIT UNION ASSOCIATION INC,223124397,no_NTEE,ICO,,
548,36287,KANSAS UNDERWOOD,GUTHRIE CORTLAND MEDICAL CENTER,150532079,(E) Health Care,VP NURSING/CNO,na,na
610,38243,KAREN A MORGAN,J M MURRAY CENTER INC,160919050,(J) Employment,DIRECTOR OF IT,na,na
184,38505,KAREN KERRIGAN,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
50,73722,KAREN NIDAY,CORTLAND COUNTY DEVELOPMENT CORPORATION,455122714,(S) Community Improvement & Capacity Building,ICO,,
48,42170,KAREN NIDAY,CORTLAND COUNTY CONVENTION & VISITORS BUREAU INC,161454737,(S) Community Improvement & Capacity Building,ICO,,
507,38462,KARI RYDER-MORTON,FAMILY COUNSELING SERVICES OF CORTLAND COUNTY INC,160975006,(F) Mental Health & Crisis Intervention,BOARD TREASURER,X,X
334,36546,KARL OCHS,CORTLAND COUNTY HISTORICAL SOCIETY -INC-,150555683,"(A) Arts, Culture & Humanities",Trustee,X,na
712,44509,KATE DOWNES,SEVEN VALLEYS HEALTH COALITION INC,161600893,(E) Health Care,BOARD MEMBER (PART YEAR),X,na
550,36287,KATELYN BELCHER,GUTHRIE CORTLAND MEDICAL CENTER,150532079,(E) Health Care,REGISTERED NURSE,na,na
89,114554,KATELYNN WAGNER,CENTRAL NEW YORK ACTION SPORTS INC,920791511,(N) Recreation & Sports,SECRETARY,X,X
90,114554,KATHERINE MACDOWELL,CENTRAL NEW YORK ACTION SPORTS INC,920791511,(N) Recreation & Sports,BOARD,X,na
256,42239,KATHLEEN BURKE,CORTLAND COUNTY BUSINESS DEVELOPMENT CORPORATION,161461027,no_NTEE,DIRECTOR,X,na
111,68742,KATHLEEN FITZGERALD,CORTLAND AREA COMMUNITIES THAT CARE COALITION,342064367,(P) Human Services,Director,X,na
158,40572,KATHLEEN MCCORMICK,CORTLAND COLLEGE CHILDRENS CENTER,161292297,(P) Human Services,VICE CHAIR,X,X
325,36546,KATHLEEN O CONNELL,CORTLAND COUNTY HISTORICAL SOCIETY -INC-,150555683,"(A) Arts, Culture & Humanities",Vice President,X,X
675,56342,KATHRYN A VANDAGENS,NATIONAL ACADEMY OF ARBITRATORS,237126791,no_NTEE,VICE PRESIDENT,X,X
159,40572,KATHRYN GALLUP,CORTLAND COLLEGE CHILDRENS CENTER,161292297,(P) Human Services,MEMBER (PART YEAR),X,na
132,36212,KATHRYN MCKENNA,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
574,42349,KATHY RUTAN,HOSPICE FOUNDATION OF CORTLAND COUNTY INC,161468911,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
364,49695,KAYLEE GROSS,CORTLAND DOWNTOWN PARTNERSHIP INC,204296071,"(A) Arts, Culture & Humanities",DIRECTOR,X,na
676,56342,KEITH D GREENBERG,NATIONAL ACADEMY OF ARBITRATORS,237126791,no_NTEE,DIRECTOR,X,na
689,70345,KEITH GREENBERG,NATIONAL ACADEMY OF ARBITRATORS RESEARCH & EDUCATION FOUNDATION,382613043,no_NTEE,DIRECTOR,X,na
787,36391,KELLY TOBIN,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,Executive Direc,na,X
272,35991,KELLY TOBIN,CORTLAND COUNTY CHAMBER OF COMMERCE INC,150278960,no_NTEE,DIRECTOR,X,na
367,49695,KELLY TOBIN,CORTLAND DOWNTOWN PARTNERSHIP INC,204296071,"(A) Arts, Culture & Humanities",DIRECTOR,X,na
30,36701,KENNETH BUSH,AMERICAN LEGION,150610966,no_NTEE,ADJUTANT,na,X
536,86217,KENNETH SMITH,GRANGE PATRONS OF HUSBANDRY NEW YORK STATE GRANGE INC,611699456,no_NTEE,TREASURER,na,X
716,39411,KENNETH WHITNEY,STATEWIDE COUNTRY MUSIC ASSOCIATION INC,161132390,"(A) Arts, Culture & Humanities",HALL OF FAME DIRECTOR,X,na
439,38651,KERBY THOMPSON,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,PROD ARTISTIC D,na,X
609,38243,KEVIN BURGHER,J M MURRAY CENTER INC,160919050,(J) Employment,CONTROLLER,na,X
185,38505,KEVIN KEEGAN,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
767,76383,KIM ALLEN,YMCA OF CORTLAND PROPERTIES INC,463376307,(P) Human Services,VICE PRESIDENT (PART YEAR),na,na
378,36601,KIM HAY,CORTLAND FREE LIBRARY INC,150569362,(B) Education,Trustee,X,na
393,40168,KIM HILL,CORTLAND LOAVES & FISHES INC,161236737,"(K) Food, Agriculture & Nutrition",Executive Dir.,X,na
705,44509,KIM OSBORNE,SEVEN VALLEYS HEALTH COALITION INC,161600893,(E) Health Care,BOARD MEMBER,X,na
803,36391,KIM STEVENS,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,BOARD MEMBER,X,na
160,40572,KIM WIECZOREK,CORTLAND COLLEGE CHILDRENS CENTER,161292297,(P) Human Services,MEMBER,X,na
440,38651,KIMBERLY ALLEN,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,BOARD MEMBER,X,na
118,36212,KIMBERLY ALLEN,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
775,36375,KIMBERLY ALLEN,YOUNG MENS CHRISTIAN ASSOCIATION CORTLAND,150533570,(P) Human Services,VICE PRESIDENT/BOARD MEMBER,X,X
106,68742,KINDRA CATALANO,CORTLAND AREA COMMUNITIES THAT CARE COALITION,342064367,(P) Human Services,Director,X,na
241,38548,KRIS BUCHAN,CORTLAND COUNTY BOARD REALTORS INC,160987063,no_NTEE,PRESIDENT,na,na
748,45816,KRISSY GAMBITTA,UNITED WAY FOR CORTLAND COUNTY INC,166058903,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",President,X,X
9,18383,KRISTEN EVANGELISTA,1890 HOUSE MUSEUM AND CENTER FOR THE ARTS,132951986,"(A) Arts, Culture & Humanities",BD MEMBER,X,na
729,42886,KRISTEN TREZZA,THE GREAT CORTLAND PUMPKINFEST INC,161506254,(N) Recreation & Sports,BD MEMBER,X,na
89,75520,KRISTIN BEARD,FRIENDS OF THE CORTLAND COUNTY CHILD ADVOCACY CENTER INC,462277341,(F) Mental Health & Crisis Intervention,ICO,,
286,39681,KRISTIN PENNOCK,CORTLAND COUNTY CHILD DEVELOPMENT DAY CARE PROGRAM INC,161167492,(P) Human Services,Treasurer,X,X
796,36391,KRISTINA FURI,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,BOARD MEMBER,X,na
512,38462,KRISTINA MARTY,FAMILY COUNSELING SERVICES OF CORTLAND COUNTY INC,160975006,(F) Mental Health & Crisis Intervention,BOARD MEMBER,X,na
792,36391,KRISTINA MARTY,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,Vice President,X,X
625,58051,KURT BEHRENFELD,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,BOARD MEMBER,X,na
475,35994,Karen Halstead,CORTLAND RURAL CEMETERY,150279170,no_NTEE,Trustee,X,na
220,43807,Katherine Compagni,CORTLAND COMMUNITY FOUNDATION,161561037,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
224,43807,Kathie O Mara,CORTLAND COMMUNITY FOUNDATION,161561037,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
27,43730,Kathleen Barnes,ACCESS TO INDEPENDENCE OF CORTLAND COUNTY INC,161557965,(B) Education,Board Treasurer,X,X
375,36601,Kathleen Hennessy,CORTLAND FREE LIBRARY INC,150569362,(B) Education,Trustee,X,na
477,35994,Kathryn Cincotta,CORTLAND RURAL CEMETERY,150279170,no_NTEE,President,X,X
131,36212,L JAMIE MCGRORY,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
524,35995,LANCE MERKUR,FREE & ACCEPTED MASONS OF NEW YORK,150279245,no_NTEE,TRUSTEE,X,na
284,39681,LARA DISCENZA,CORTLAND COUNTY CHILD DEVELOPMENT DAY CARE PROGRAM INC,161167492,(P) Human Services,Director,X,na
427,48247,LARRY BRADY,CORTLAND REGIONAL SPORTS COUNCIL INC,201960550,(S) Community Improvement & Capacity Building,BOARD MEMBER,X,na
577,42349,LARRY HAYES,HOSPICE FOUNDATION OF CORTLAND COUNTY INC,161468911,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
304,38653,LARRY WOOLHEATER,CORTLAND COUNTY COMMUNITY ACTION PROGRAM INC,161004653,(P) Human Services,BOARD MEMBER,X,na
377,36601,LAUREN MOSSOTTI-KLINE,CORTLAND FREE LIBRARY INC,150569362,(B) Education,President,X,X
400,40168,LAUREN NELS,CORTLAND LOAVES & FISHES INC,161236737,"(K) Food, Agriculture & Nutrition",Director,X,na
26,52740,LAURIE DUTCHER,CIVIL SERVICE EMPLOYEES ASSOCIATION,222511551,no_NTEE,ICO,,
633,58051,LAURIE KLOTZ,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,BOARD MEMBER,X,na
744,45816,LAURIE SPERGER,UNITED WAY FOR CORTLAND COUNTY INC,166058903,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Secretary,X,X
8,18383,LEE BENSON,1890 HOUSE MUSEUM AND CENTER FOR THE ARTS,132951986,"(A) Arts, Culture & Humanities",VICE PRESIDENT,X,na
598,38243,LENORE LEFEVRE,J M MURRAY CENTER INC,160919050,(J) Employment,DIRECTOR,X,na
109,55622,LENORE SCHWAGER,LEAGUE OF WOMEN VOTERS OF NEW YORK INC,237036641,no_NTEE,ICO,,
130,46554,LESLIE EASTON,PSI CHI THE INTERNATIONAL HONOR SOCIETY IN PSYCHOLOGY,166098173,no_NTEE,ICO,,
519,38462,LESLIE P GUY,FAMILY COUNSELING SERVICES OF CORTLAND COUNTY INC,160975006,(F) Mental Health & Crisis Intervention,BOARD MEMBER,X,na
165,38505,LINDA BARNES GADKOWSKI,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
92,39519,LINDA BATSFORD,GRANGE PATRONS OF HUSBANDRY NEW YORK STATE GRANGE INC,161143016,no_NTEE,ICO,,
627,58051,LINDA RIGGINS,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,Secretary,X,X
401,40168,LINDSAY VAN LIEW,CORTLAND LOAVES & FISHES INC,161236737,"(K) Food, Agriculture & Nutrition",Director,X,na
690,70345,LISA CHARLES,NATIONAL ACADEMY OF ARBITRATORS RESEARCH & EDUCATION FOUNDATION,382613043,no_NTEE,DIRECTOR,X,na
522,38462,LISA HOESCHELE,FAMILY COUNSELING SERVICES OF CORTLAND COUNTY INC,160975006,(F) Mental Health & Crisis Intervention,EXECUTIVE DIRECTOR,na,X
46,36518,LISA KAHLE,AUXILIARY SERVICES CORPORATION OF SUNY CORTLAND,150548524,(B) Education,DIRECTOR,X,na
660,56342,LISA SALKOVITZ KOHN,NATIONAL ACADEMY OF ARBITRATORS,237126791,no_NTEE,DIRECTOR,X,na
455,38651,LIZ COLE,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,BOARD MEMBER,X,na
380,36601,LIZ COLE,CORTLAND FREE LIBRARY INC,150569362,(B) Education,Trustee,X,na
698,114354,LOGAN KNOWLES,SEAHORSE FOUNDATION INC,920495583,(S) Community Improvement & Capacity Building,Secretary,na,na
258,42239,LORI LAW,CORTLAND COUNTY BUSINESS DEVELOPMENT CORPORATION,161461027,no_NTEE,DIRECTOR,X,na
289,39681,LORRAINE BARBER,CORTLAND COUNTY CHILD DEVELOPMENT DAY CARE PROGRAM INC,161167492,(P) Human Services,Director,X,na
